,Date,Brand,Product,Issue,Nb_affected_models,Category,Published by,Audience,Recall type,Recall Category,Year,Month
0,2011-01-12,MILLER,Light Trailer recalled by MILLER ELECTRIC,Suspension,2,Light Trailer,Transport Canada,General public,automotive recall,Vehicles,2011,January
1,2011-01-18,SPARTAN,Truck - Med. & H.D. recalled by SPARTAN,Suspension,4,Truck - Med. & H.D.,Transport Canada,General public,automotive recall,Vehicles,2011,January
2,2011-01-19,DUTCHMEN,RV Trailer recalled by DUTCHMEN,Fuel Supply,2,RV Trailer,Transport Canada,General public,automotive recall,Vehicles,2011,January
3,2011-01-19,TRIUMPH,Motorcycle recalled by TRIUMPH,Engine,2,Motorcycle,Transport Canada,General public,automotive recall,Vehicles,2011,January
4,2011-01-19,DUCATI,Motorcycle recalled by DUCATI,Engine,1,Motorcycle,Transport Canada,General public,automotive recall,Vehicles,2011,January
5,2011-01-19,CASTLETON,Heavy Trailer recalled by CASTLETON,Accessories,6,Heavy Trailer,Transport Canada,General public,automotive recall,Vehicles,2011,January
6,2011-01-21,CADILLAC,Light Truck & Van recalled by GENERAL MOTORS,Suspension,14,Light Truck & Van,Vehicles - SUV,General public,automotive recall,Vehicles,2011,January
7,2011-01-28,VAN-ACTION,Minivan recalled by VAN-ACTION 2005,Brakes,12,Minivan,Transport Canada,General public,automotive recall,Vehicles,2011,January
8,2011-01-28,INTERNATIONAL,Truck - Med. & H.D. recalled by NAVISTAR,Powertrain,1,Truck - Med. & H.D.,Transport Canada,General public,automotive recall,Vehicles,2011,January
9,2011-02-02,DUCATI,Motorcycle recalled by DUCATI,Fuel Supply,14,Motorcycle,Transport Canada,General public,automotive recall,Vehicles,2011,February
10,2011-02-02,COACHMEN,RV Trailer recalled by COACHMEN,Accessories,2,RV Trailer,Transport Canada,General public,automotive recall,Vehicles,2011,February
11,2011-02-08,CADILLAC,SUV recalled by GENERAL MOTORS,Seats And Restraints,3,SUV,Transport Canada,General public,automotive recall,Vehicles,2011,February
