,Date,Item,Issue,Nb_affected_models,Category,Published by,Recall type,Audience,Year,Month,Recall Category
0,2023-03-31,"The Laundress fabric conditioners recalled due to chemical hazard, including previously recalled units",Chemical Hazard,5.0,Other,Health Canada,consumer product recall,General Public,2023,March,Consumer product
1,2023-03-31,Health Canada warns that YANRU Baby Walkers may pose a risk of injury ,Injury Hazard,12.0,Household Items,Health Canada,consumer product advisory,General Public,2023,March,Consumer product
2,2023-03-30,Battery Packs within Higdon Outdoors XS Series Motion Waterfowl Decoys and XS Replacement Battery recalled due to potential fire hazard ,Fire Hazard,18.0,Outdoor Living,Health Canada,consumer product recall,General Public,2023,March,Consumer product
3,2023-03-30,Pure Sunfarms Corp. recalls two lots of Original Fraser Valley Weed Co. B.C. Sour Kush dried cannabis,Labelling And Packaging,3.0,Cannabis/Vaping/Tobacco products,Health Canada,consumer product recall,General Public,2023,March,Consumer product
4,2023-03-29,Bamboo Nursing Hoodies recalled due to Choking Hazard ,Choking Hazard,5.0,Clothing And Accessories,Health Canada,consumer product recall,General Public,2023,March,Consumer product
5,2023-03-29,Various Change Tables for Harmony Play & Go Playards recalled due to entrapment hazard ,Entrapment Hazard,5.0,Household Items,Health Canada,consumer product recall,General Public,2023,March,Consumer product
6,2023-03-27,Jetson Nova and Star 3-Wheel Scooters recalled due to fall hazard ,Fall Hazard,6.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,March,Consumer product
7,2023-03-23,Various Black Forest Resins recalled due to lack of required hazard labelling and child-resistant packaging,Labelling And Packaging,14.0,Chemicals,Health Canada,consumer product recall,General Public,2023,March,Consumer product
8,2023-03-21,BLÅVINGAD fishing game multicolour recalled due to choking hazard ,Choking Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,March,Consumer product
9,2023-03-21,Bondo® Hair Long Strand Reinforced Fiberglass Filler recalled due to improper labelling,Labelling And Packaging,4.0,Chemicals,Health Canada,consumer product recall,General Public,2023,March,Consumer product
10,2023-03-20,Chikitoe plush dinosaur with rattle  recalled due to choking hazard ,Choking Hazard,3.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,March,Consumer product
11,2023-03-17,Bindle Bottles recalled due to the presence of lead ,Chemical Hazard,3.0,Household Items,Health Canada,consumer product recall,General Public,2023,March,Consumer product
12,2023-03-16,Sunbeam® Queen Size Heated Blankets recalled due to potential fire hazard ,Fire Hazard,8.0,Other,Health Canada,consumer product recall,General Public,2023,March,Consumer product
13,2023-03-13,FRIGG Daisy Pacifiers Recalled due to a Choking Hazard,Choking Hazard,35.0,Other,Health Canada,consumer product recall,General Public,2023,March,Consumer product
14,2023-03-13,Health Canada warns that AIKSSOO Brand Baby Gates may pose a Choking Hazard ,Choking Hazard,1.0,Other,Health Canada,consumer product advisory,General Public,2023,March,Consumer product
15,2023-03-09,Calico Critters accessories recalled due to potential choking hazard,Choking Hazard,55.0,Toys And Games,Health Canada,consumer product recall,General Public,2023,March,Consumer product
