,Date,Item,Nb_affected_models,Category,Published by,Audience,Recall class,Recall type,Year,Month,Recall Category,Sub Issue,Food_Issue
0,2023-03-30,Komera Original brand Seasoned Hot Pepper Sauce recalled due to potential presence of dangerous bacteria,2.0,Condiments,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,March,Food,Microbial Contamination,Microbiological Contamination
1,2023-03-29,Solstice Ciderworks brand Haskap Cider recalled due to bursting cans ,2.0,Alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Microbial Contamination,Microbiological Contamination
2,2023-03-29,Various brands of Chicken Soup Products recalled due to swollen containers,5.0,Multiple food items,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Microbial Contamination,Microbiological Contamination
3,2023-03-28,Certain Wonton King brand Wontons recalled due to undeclared egg,5.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,March,Food,Allergen,Allergen
4,2023-03-24,Green Sun brand Dark Chocolate Covered Pineapple recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Allergen,Allergen
5,2023-03-23,China Lily brand Soya Sauce recalled due to leaking and bulging bottles,2.0,Condiments,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Other,Other
6,2023-03-22,Fried fish ball recalled due to undeclared egg,2.0,Processed,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,March,Food,Allergen,Allergen
7,2023-03-22,Nuba brand Carob (drink) recalled due to potential presence of dangerous bacteria,2.0,Non-alcoholic,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,March,Food,Microbial Contamination,Microbiological Contamination
8,2023-03-21,Frozen Pre-Fried Tempura Shrimp recalled due to undeclared egg,2.0,Processed,Canadian Food Inspection Agency,Hotel/Restaurant/Institutional,Class 1,notification,2023,March,Food,Allergen,Allergen
9,2023-03-21,Nuba brand Carob (drink) recalled due to potential presence of dangerous bacteria,2.0,Non-alcoholic,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Microbial Contamination,Microbiological Contamination
10,2023-03-18,Nestlé Good Start - Soothe (infant formula) recalled due to possible presence of Cronobacter sakazakii,2.0,Infant products,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2023,March,Food,Microbial Contamination,Microbiological Contamination
11,2023-03-17,Fresh Pork Breakfast Sausage recalled due to undeclared mustard,2.0,Processed,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Allergen,Allergen
12,2023-03-10,"Fisherman's Wharf Dim Sum brand products recalled due to undeclared egg, gluten and wheat",14.0,Multiple food items,Canadian Food Inspection Agency,General Public,Class 2,food recall warning,2023,March,Food,Allergen,Allergen
13,2023-03-10,Salento Organics brand Dark Chocolate Products recalled due to undeclared milk,7.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Allergen,Allergen
14,2023-03-09,The Chocolate Lab brand Signature Chocolate Almonds recalled due to undeclared milk,2.0,"Candy, confectionary, snacks and sweeteners",Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,March,Food,Allergen,Allergen
15,2023-02-15,PC brand Canadian Cheddar Cheese recalled due to Listeria monocytogenes,2.0,Dairy,Canadian Food Inspection Agency,General Public,Class 1,food recall warning,2023,February,Food,Microbial Contamination,Microbiological Contamination
16,2023-02-15,Shirakiku brand Chili Pepper Powder (Ichimi Togarashi) recalled due to undeclared sesame,2.0,Herbs and spices,Canadian Food Inspection Agency,Retail/Warehouse/Manufacturers,Class 1,notification,2023,February,Food,Allergen,Allergen
