,Date,Item,Issue,Nb_affected_models,Category,Published by,Audience,Recall type,Recall class,Year,Month,Recall Category
0,2023-03-31,Mridium MRI Infusion System - Syringe Adapter Set,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
1,2023-03-31,Magnesium Oxide 420 mg: The dissolution is out of specification in the affected lot.,Product Quality,2.0,Natural Health Products,Health Canada,General Public,health product recall,Type II,2023,March,Health product
2,2023-03-31,Philips Azurion System,Performance Issue,5.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
3,2023-03-30,Zenith Branch Endovascular Graft Iliac Bifurcation,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
4,2023-03-30,Trifecta Heart Valve,Performance Issue,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
5,2023-03-30,V. Mueller Vaginal Speculums,Labelling And Packaging,3.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
6,2023-03-29,Ultracell Wick With 80cc Collection Bag,Sterility Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
7,2023-03-29,Trilogy EV300,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,March,Health product
8,2023-03-29,Access System - Free T3 Assays,Performance Issue,4.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
9,2023-03-28,ANGIOGUARD™ RX Emboli Capture Guidewire System,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type I,2023,March,Health product
10,2023-03-24,Sterile Light Handle Cover,Software/Mechanical/Electrical/Manufacturing Defect,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
11,2023-03-24,Monnal T60,Performance Issue,2.0,Medical Device,Health Canada,General Public,health product recall,Type II,2023,March,Health product
12,2023-03-23,Hamilton C6 Intensive Care Ventilator,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
13,2023-03-23,Vacuette * K2 EDTA,Performance Issue,2.0,Medical Device,Health Canada,Healthcare Professionals,health product recall,Type II,2023,March,Health product
