,Unnamed: 0,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Recall type,Audience,Starting date:,Posting date:,Type of communication:,Subcategory:,Source of recall:,Issue:,Audience:,Identification number:,Identification number
0,0,2023-03-31,"
The Laundress fabric conditioners recalled due to chemical hazard, including previously recalled units
",,The Laundress fabric conditioners.,Consumer products - Chemical hazard,5.0,Consumer product recall,Consumer product - Other,"Distributor
The Laundress
New York, New York
United States of America",Health Canada,consumer product recall,General public,,,,,,,,,
1,0,2023-03-31,"
Health Canada warns that YANRU Baby Walkers may pose a risk of injury 
",,YANRU Baby Walkers,Consumer products - Injury hazard,12.0,Consumer product advisory,Consumer product - Household items,"Distributor
WQDDS/WQD wangds
China
Place of Origin
Manufactured in China",Health Canada,consumer product advisory,General public,,,,,,,,,
2,0,2023-03-30,"
Battery Packs within Higdon Outdoors XS Series Motion Waterfowl Decoys and XS Replacement Battery recalled due to potential fire hazard 
",,Battery Packs within Higdon Outdoors XS Series Motion Waterfowl Decoys and XS Replacement Battery,Consumer products - Fire hazard,18.0,Consumer product recall,Consumer product - Outdoor living,"Importer
Higdon Outdoors LLC
Paducah, Kentucky
United States",Health Canada,consumer product recall,General public,,,,,,,,,
3,0,2023-03-30,"
Pure Sunfarms Corp. recalls two lots of Original Fraser Valley Weed Co. B.C. Sour Kush dried cannabis
",,"Original Fraser Valley Weed Co. B.C. Sour Kush dried cannabis, lots 03984 and 03985",Cannabis - Labelling and packaging,3.0,Consumer product recall,Consumer product - Cannabis,"Recalling Firm
Pure Sunfarms Corp.
British Columbia
CANADA
Tel: 1-888-207-4360
E-mail: hello@fraservalleyweedco.com
Distributor
Ontario Cannabis Store
Ontario
CANADA
Tel: 1-888-910-0627",Health Canada,consumer product recall,General public,,,,,,,,,
4,0,2023-03-29,"
Bamboo Nursing Hoodies recalled due to Choking Hazard 
",,Kindred Bravely Bamboo Nursing Hoodies,Consumer products - Choking hazard,5.0,Consumer product recall,Consumer product - Clothing and accessories - Clothing,"Distributor
Akersen Enterprise LLC dba Kindred Bravely
Oceanside CA
USA
Importer
Yo Mama Maternity
Edmonton AB
CANADA",Health Canada,consumer product recall,General public,,,,,,,,,
5,0,2023-03-29,"
Various Change Tables for Harmony Play & Go Playards recalled due to entrapment hazard 
",Play & Go,Various Change Table Accessories for Harmony Play & Go Playards ,Consumer products - Entrapment hazard,5.0,Consumer product recall,Consumer product - Household items,"Importer
Harmony Juvenile Products
Montréal
Québec
Canada",Health Canada,consumer product recall,General public,,,,,,,,,
6,0,2023-03-27,"
Jetson Nova and Star 3-Wheel Scooters recalled due to fall hazard 
",,Jetson Electric Bikes - Nova and Star 3-Wheel Scooters,Consumer products - Fall hazard,6.0,Consumer product recall,Consumer product - Toys and games,"Importer
Costco Canada
Ottawa, ON
Canada
Manufacturer
Jetson Bikes
Brooklyn, New York
Unites States",Health Canada,consumer product recall,General public,,,,,,,,,
7,0,2023-03-23,"
Various Black Forest Resins recalled due to lack of required hazard labelling and child-resistant packaging
",,Various Black Forest Resins,Consumer products - Labelling and packaging,14.0,Consumer product recall,Consumer product - Chemicals,"Manufacturer
Black Forest Wood Co. LTD
Calgary
Alberta
CANADA",Health Canada,consumer product recall,General public,,,,,,,,,
8,0,2023-03-21,"
BLÅVINGAD fishing game multicolour recalled due to choking hazard 
",,IKEA BLÅVINGAD fishing game multicolour ,Consumer products - Choking hazard,3.0,Consumer product recall,Consumer product - Toys and games,"Distributor
IKEA CANADA LTD PARTNERSHIP
1065 Plains Rd E 
Burlington, ON
L7T 4K1 
Canada
Manufacturer
Happy Arts & Crafts (Ningbo) Co., Ltd., China.
China, Zhejiang, Ningbo, Beilun District, Nanhai Rd, 9号-27号 邮政编码: 315800",Health Canada,consumer product recall,General public,,,,,,,,,
9,0,2023-03-21,"
Bondo® Hair Long Strand Reinforced Fiberglass Filler recalled due to improper labelling
",,Bondo® Hair Long Strand Reinforced Fiberglass Filler ,Consumer products - Labelling and packaging,4.0,Consumer product recall,Consumer product - Chemicals,"Importer
3M Canada Company
London
Ontario
CANADA
Manufacturer
3M Company
St. Paul
Minnesota
UNITED STATES",Health Canada,consumer product recall,General public,,,,,,,,,
