,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Audience,Recall class,Recall type,Identification number,Starting date:,Type of communication:,Alert sub-type:,Subcategory:,Hazard classification:,Source of recall:,Recalling firm:,Distribution:,Extent of the product distribution:,CFIA reference number:,Issue:,Audience:,Identification number:,Posting date:
0,2023-03-30,"
Komera Original brand Seasoned Hot Pepper Sauce recalled due to potential presence of dangerous bacteria
",Komera Original,Seasoned Hot Pepper Sauce,Food - Microbial Contamination - Clostridium botulinum,2.0,Food recall warning,Food - Condiments,Komera Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-03-29,"
Solstice Ciderworks brand Haskap Cider recalled due to bursting cans 
",Solstice Ciderworks,Haskap Cider,Food - Microbial Contamination - Non harmful (quality or spoilage),2.0,Notification,Food - Beverages - Alcoholic,Solstice Ciderworks,Canadian Food Inspection Agency,Retail,Retail,notification,"
15461
",,,,,,,,,,,,,,
0,2023-03-29,"
Various brands of Chicken Soup Products recalled due to swollen containers
",no name,Chicken Soup Products,Food - Microbial Contamination - Other,5.0,Notification,Food - Multiple food items,Les Aliments BCI Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15462
",,,,,,,,,,,,,,
0,2023-03-28,"
Certain Wonton King brand Wontons recalled due to undeclared egg
",Wonton King,Certain Wontons,Food - Allergen - Egg,5.0,Food recall warning,Food - Multiple food items,Wonton King,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-03-24,"
Green Sun brand Dark Chocolate Covered Pineapple recalled due to undeclared milk
",Green Sun,Dark Chocolate Covered Pineapple,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Green Sun Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15457
",,,,,,,,,,,,,,
0,2023-03-23,"
China Lily brand Soya Sauce recalled due to leaking and bulging bottles
",China Lily,Soya Sauce,Food - Other,2.0,Notification,Food - Condiments,Lee’s Food Products Ltd.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15451
",,,,,,,,,,,,,,
0,2023-03-22,"
Fried fish ball recalled due to undeclared egg
",,Fried fish ball,Food - Allergen - Egg,2.0,Food recall warning,Food - Fish and seafood - Processed,Yijie Holdings Inc.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-03-22,"
Nuba brand Carob (drink) recalled due to potential presence of dangerous bacteria
",Nuba,Carob (drink) ,Food - Microbial Contamination - Clostridium botulinum,2.0,Food recall warning,Food - Beverages - Non-alcoholic,Nubia Food and Beverage Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-03-21,"
Frozen Pre-Fried Tempura Shrimp recalled due to undeclared egg
",None,Frozen Pre-Fried Tempura Shrimp,Food - Allergen - Egg,2.0,Notification,Food - Fish and seafood - Processed,"Day-Lee Foods, Inc.",Canadian Food Inspection Agency,"Hotels, restaurants and institutions","Hotels, restaurants and institutions",notification,"
15447
",,,,,,,,,,,,,,
0,2023-03-21,"
Nuba brand Carob (drink) recalled due to potential presence of dangerous bacteria
",Nuba,Carob (drink),Food - Microbial Contamination - Clostridium botulinum,2.0,Notification,Food - Beverages - Non-alcoholic,Nuba Food and Beverage,Canadian Food Inspection Agency,Warehouse,Warehouse,notification,"
15438
",,,,,,,,,,,,,,
0,2023-03-18,"
Nestlé Good Start - Soothe (infant formula) recalled due to possible presence of Cronobacter sakazakii
",Nestlé Good Start,Nestlé Good Start Soothe (infant formula),Food - Microbial Contamination - Other,2.0,Food recall warning,Food - Infant products,Perrigo Company plc,Canadian Food Inspection Agency,General public,Class 2,food recall warning,,,,,,,,,,,,,,,
0,2023-03-17,"
Fresh Pork Breakfast Sausage recalled due to undeclared mustard
",None,Fresh Pork Breakfast Sausage,Food - Allergen - Mustard,2.0,Notification,Food - Meat and poultry - Processed,McGarroch of Micksburg,Canadian Food Inspection Agency,Retail,Retail,notification,"
15439
",,,,,,,,,,,,,,
0,2023-03-10,"
Fisherman's Wharf Dim Sum brand products recalled due to undeclared egg, gluten and wheat
",Fisherman's Wharf Dim Sum,Dim sum products,Food - Allergen - Egg,14.0,Food recall warning,Food - Multiple food items,Canada J&H Galaxy Investment Management Inc.,Canadian Food Inspection Agency,"General public
Hotels, restaurants and institutions",Class 2,food recall warning,,,,,,,,,,,,,,,
0,2023-03-10,"
Salento Organics brand Dark Chocolate Products recalled due to undeclared milk
",Salento Organics,Dark Chocolate Products,Food - Allergen - Milk,7.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",Longo Brothers Fruit Markets Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15437
",,,,,,,,,,,,,,
0,2023-03-09,"
The Chocolate Lab brand Signature Chocolate Almonds recalled due to undeclared milk
",The Chocolate Lab,Signature Chocolate Almonds,Food - Allergen - Milk,2.0,Notification,"Food - Candy, confectionary, snacks and sweeteners",The Chocolate Lab Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15432
",,,,,,,,,,,,,,
0,2023-02-15,"
PC brand Canadian Cheddar Cheese recalled due to Listeria monocytogenes
",PC,Canadian Cheddar Cheese,Food - Microbial Contamination - Listeria,2.0,Food recall warning,Food - Dairy,Loblaw Companies Limited,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
0,2023-02-15,"
Shirakiku brand Chili Pepper Powder (Ichimi Togarashi) recalled due to undeclared sesame
",Shirakiku,Chili Pepper Powder (Ichimi Togarashi),Food - Allergen - Sesame seeds,2.0,Notification,Food - Herbs and spices,Wismettac Asian Foods Inc.,Canadian Food Inspection Agency,Retail,Retail,notification,"
15402
",,,,,,,,,,,,,,
0,2023-02-15,"
Mother Dairy brand Paneer Fresh Cheese recalled due to generic E. coli
",Mother Dairy,Paneer Fresh Cheese,Food - Microbial Contamination - E. Coli - non-pathogenic,3.0,Notification,Food - Dairy,Mother Dairy,Canadian Food Inspection Agency,"Hotels, restaurants and institutions
Retail","Hotels, restaurants and institutions",notification,"
15399, 15403
",,,,,,,,,,,,,,
0,2023-02-14,"
Le Fromage au Village and FreshFun Fantastic brand cheese products recalled due to Listeria monocytogenes
",Le Fromage au Village,Certain cheese products,Food - Microbial Contamination - Listeria,31.0,Food recall warning,Food - Dairy,Le Fromage au Village Inc.,Canadian Food Inspection Agency,General public,Class 1,food recall warning,,,,,,,,,,,,,,,
