,Unnamed: 0,Date,Item,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Companies,Published by,Audience,Recall type,Recall class,Starting date:,Posting date:,Type of communication:,Subcategory:,Source of recall:,Issue:,Audience:,Identification number:,Hazard classification:
0,0,2023-03-31,"
Mridium MRI Infusion System - Syringe Adapter Set
",Iradimed Corporation,Mridium MRI Infusion System - Syringe Adapter Set,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - General hospital and personal use,"Iradimed Corporation
1025 Willa Springs Drive, Winter Springs, Florida, United States, 32708",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
1,0,2023-03-31,"
Magnesium Oxide 420 mg: The dissolution is out of specification in the affected lot.
",,Magnesium Oxide 420 mg,Health products - Product quality,2.0,Health product recall,Health product - Natural health products,"JAMP Pharma Corporation
1310 Nobel, Boucherville
QC,  J4B 5H3",Health Canada,"General public
Healthcare
Industry",health product recall,Type II,,,,,,,,,
2,0,2023-03-31,"
Philips Azurion System
",PHILIPS MEDICAL SYSTEMS NEDERLAND B.V.,Philips Azurion System,Medical devices - Performance issue,5.0,Health product recall,Health product - Medical device - Radiology,"Philips Medical Systems Nederland B.V.
Veenpluis 6, Best, Netherlands, 5684 PC",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
3,0,2023-03-30,"
Zenith Branch Endovascular Graft Iliac Bifurcation
","William A. Cook Australia, Pty. Ltd.",Zenith Branch Endovascular Graft Iliac Bifurcation,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Cardiovascular,"William A. Cook Australia, Pty. Ltd.
95 Brandl Street, Queensland, Australia, 4113",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
4,0,2023-03-30,"
Trifecta Heart Valve
",St. Jude Medical,Trifecta Heart Valve,Medical devices - Performance issue,3.0,Health product recall,Health product - Medical device - Cardiovascular,"St. Jude Medical
177 County Road B East, St. Paul, Minnesota, United States, 55117",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
5,0,2023-03-30,"
V. Mueller Vaginal Speculums
",Carefusion,V. Mueller Vaginal Speculums,Medical devices - Labelling and packaging,3.0,Health product recall,Health product - Medical device - Obstetrics and gynaecology,"Carefusion
75 North Fairway Drive, Vernon Hills, Illinois, United States, 60061",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
6,0,2023-03-29,"
Ultracell Wick With 80cc Collection Bag
","Beaver-Visitec International, Inc",Ultracell Wick With 80cc Collection Bag,Medical devices - Sterility Issue,2.0,Health product recall,Health product - Medical device - Ophthalmology,"Beaver-Visitec International, Inc
500 Totten Pond Rd. - 10 Citypoint, Waltham, Massachusetts, United States, 02451",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
7,0,2023-03-29,"
Trilogy EV300
",Respironics Inc. Also Trading As Philips Rs North America Llc,Trilogy EV300,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Anaesthesiology,"Respironics Inc. Also Trading As Philips Rs North America LLC
1001 Murry Ridge Lane, Murrysville, Pennsylvania, United States, 15668",Health Canada,"Healthcare
Industry",health product recall,Type II,,,,,,,,,
8,0,2023-03-29,"
Access System - Free T3 Assays
","BECKMAN COULTER, INC.",Access System - Free T3 Assays,Medical devices - Performance issue,4.0,Health product recall,Health product - Medical device - Chemistry,"Beckman Coulter, Inc.
250 S. Kraemer Blvd., Brea, California, United States, 92821",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
9,0,2023-03-28,"
ANGIOGUARD™ RX Emboli Capture Guidewire System
",Cordis Us Corp.,ANGIOGUARD™ RX Emboli Capture Guidewire System,Medical devices - Performance issue,2.0,Health product recall,Health product - Medical device - Cardiovascular,"Cordis Us Corp.
14201 Nw 60th Ave., Miami Lakes, Florida, United States, 33014",Health Canada,Healthcare,health product recall,Type I,,,,,,,,,
10,0,2023-03-24,"
Sterile Light Handle Cover
",Steris Corporation,Sterile Light Handle Cover,Medical devices - Device compatibility,2.0,Health product recall,Health product - Medical device - General and plastic surgery,"Steris Corporation
2720 Gunter Park East, Montgomery, Alabama, United States, 36109",Health Canada,Healthcare,health product recall,Type II,,,,,,,,,
