,Unnamed: 0,Last_updated,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Published by,Audience,Recall type,Identification number
0,0,2011-01-12,MILLER,Light Trailer recalled by MILLER ELECTRIC,Vehicle - Suspension,2,Automotive recall,Vehicles - Light Trailer,Transport Canada,General public,automotive recall,2011001
1,0,2011-01-18,SPARTAN,Truck - Med. & H.D. recalled by SPARTAN,Vehicle - Suspension,4,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010450
2,0,2011-01-19,DUTCHMEN,RV Trailer recalled by DUTCHMEN,Vehicle - Fuel Supply,2,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2011009
3,0,2011-01-19,TRIUMPH,Motorcycle recalled by TRIUMPH,Vehicle - Engine,2,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2010462
4,0,2011-01-19,DUCATI,Motorcycle recalled by DUCATI,Vehicle - Engine,1,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2011005
5,0,2011-01-19,CASTLETON,Heavy Trailer recalled by CASTLETON,Vehicle - Accessories,6,Automotive recall,Vehicles - Heavy Trailer,Transport Canada,General public,automotive recall,2011017
6,0,2011-01-21,CADILLAC,Light Truck & Van recalled by GENERAL MOTORS,Vehicle - Suspension,14,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010454
7,0,2011-01-28,VAN-ACTION,Minivan recalled by VAN-ACTION 2005,Vehicle - Brakes,12,Automotive recall,Vehicles - Minivan,Transport Canada,General public,automotive recall,2011021
8,0,2011-01-28,INTERNATIONAL,Truck - Med. & H.D. recalled by NAVISTAR,Vehicle - Powertrain,1,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010455
9,0,2011-02-02,DUCATI,Motorcycle recalled by DUCATI,Vehicle - Fuel Supply,14,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2011031
10,0,2011-02-02,COACHMEN,RV Trailer recalled by COACHMEN,Vehicle - Accessories,2,Automotive recall,Vehicles - RV Trailer,Transport Canada,General public,automotive recall,2011030
11,0,2011-02-08,CADILLAC,SUV recalled by GENERAL MOTORS,Vehicle - Seats And Restraints,3,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2010446
12,0,2011-02-11,FORD,Light Truck & Van recalled by FORD,Vehicle - Other,2,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2011047
13,0,2011-02-14,BMW,Motorcycle recalled by BMW,Vehicle - Electrical,3,Automotive recall,Vehicles - Motorcycle,Transport Canada,General public,automotive recall,2010066
14,0,2011-02-14,MCI,Bus recalled by MOTOR COACH INDUSTRIES,Vehicle - Other,23,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2010067
15,0,2011-02-14,TRIPLE E,Motorhome recalled by TRIPLE E,Vehicle - Other,1,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2010068
16,0,2011-02-14,NOVA BUS,Bus recalled by NOVA BUS,Vehicle - Fuel Supply,2,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2010065
17,0,2011-02-14,ITASCA,Motorhome recalled by WINNEBAGO INDUSTRIES,Vehicle - Electrical,4,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2010069
18,0,2011-02-14,NITTO,Tire recalled by TOYO,Vehicle - Tires,3,Automotive recall,Vehicles - Tire,Transport Canada,General public,automotive recall,2010064
19,0,2011-02-14,BLUE BIRD,School Bus recalled by BLUE BIRD,Vehicle - Structure,1,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2010063
20,0,2011-02-14,ELGIN SWEEPER,Truck - Med. & H.D. recalled by ELGIN SWEEPER,Vehicle - Brakes,6,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010071
21,0,2011-02-14,NISSAN,SUV recalled by NISSAN,Vehicle - Fuel Supply,6,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2010061
22,0,2011-02-14,INFINITI,Light Truck & Van recalled by NISSAN,Vehicle - Fuel Supply,15,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010060
23,0,2011-02-14,JEEP,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Vehicle - Suspension,2,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2010070
24,0,2011-02-14,CHEVROLET,Car recalled by GENERAL MOTORS,Vehicle - Steering,12,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2010059
25,0,2011-02-14,WILSON,Heavy Trailer recalled by WILSON,Vehicle - Structure,9,Automotive recall,Vehicles - Heavy Trailer,Transport Canada,General public,automotive recall,2010057
26,0,2011-02-14,AUTOCAR,Truck - Med. & H.D. recalled by AUTOCAR,Vehicle - Steering,2,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010054
27,0,2011-02-14,BLUE BIRD,School Bus recalled by BLUE BIRD,Vehicle - Electrical,1,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2010052
28,0,2011-02-14,INFINITI,Light Truck & Van recalled by NISSAN,Vehicle - Brakes,11,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010062
29,0,2011-02-14,CHEVROLET,Light Truck & Van recalled by GENERAL MOTORS,Vehicle - Heater And Defroster,4,Automotive recall,Vehicles - Light Truck & Van,Transport Canada,General public,automotive recall,2010072
30,0,2011-02-14,CADILLAC,Car recalled by GENERAL MOTORS,Vehicle - Brakes,5,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2010080
31,0,2011-02-14,ELGIN SWEEPER,Truck - Med. & H.D. recalled by ELGIN SWEEPER,Vehicle - Steering,6,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010075
32,0,2011-02-14,ALUMA,Light Trailer recalled by ALUMA TOWER COMPANY,Vehicle - Accessories,1,Automotive recall,Vehicles - Light Trailer,Transport Canada,General public,automotive recall,2010094
33,0,2011-02-14,GOSHEN,Bus recalled by GOSHEN,Vehicle - Other,15,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2010091
34,0,2011-02-14,MICRO BIRD,School Bus recalled by MICRO BIRD,Vehicle - Other,1,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2010090
35,0,2011-02-14,GIRARDIN,Bus recalled by MICRO BIRD,Vehicle - Other,16,Automotive recall,Vehicles - Bus,Vehicles - School Bus,Transport Canada,automotive recall,2010089
36,0,2011-02-14,INFINITI,Light Truck & Van recalled by NISSAN,Vehicle - Powertrain,6,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010088
37,0,2011-02-14,NISSAN,Light Truck & Van recalled by NISSAN,Vehicle - Other,3,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010086
38,0,2011-02-14,NISSAN,Light Truck & Van recalled by NISSAN,Vehicle - Airbag,3,Automotive recall,Vehicles - Light Truck & Van,Vehicles - SUV,Transport Canada,automotive recall,2010085
39,0,2011-02-14,GOSHEN,Bus recalled by GOSHEN,Vehicle - Other,15,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2010084
40,0,2011-02-14,VOLVO,Truck - Med. & H.D. recalled by VOLVO TRUCKS,Vehicle - Other,2,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010083
41,0,2011-02-14,MCI,Bus recalled by MOTOR COACH INDUSTRIES,Vehicle - Other,7,Automotive recall,Vehicles - Bus,Transport Canada,General public,automotive recall,2010082
42,0,2011-02-14,ENTEGRA COACH,Motorhome recalled by ENTEGRA COACH,Vehicle - Brakes,2,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2010051
43,0,2011-02-14,HONDA,Minivan recalled by HONDA,Vehicle - Brakes,4,Automotive recall,Vehicles - Minivan,Vehicles - SUV,Transport Canada,automotive recall,2010079
44,0,2011-02-14,INTERNATIONAL,Bus recalled by NAVISTAR,Vehicle - Brakes,48,Automotive recall,Vehicles - Bus,Vehicles - School Bus,Vehicles - Truck - Med. & H.D.,automotive recall,2010078
45,0,2011-02-14,THOMAS BUILT,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Other,4,Automotive recall,Vehicles - School Bus,Transport Canada,General public,automotive recall,2010077
46,0,2011-02-14,FREIGHTLINER,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Vehicle - Seats And Restraints,3,Automotive recall,Vehicles - Truck - Med. & H.D.,Transport Canada,General public,automotive recall,2010076
47,0,2011-02-14,HYUNDAI,Car recalled by HYUNDAI,Vehicle - Other,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2010074
